[WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL]
[WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL]
[WALL, WALL, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, WALL, WALL, WALL, WALL, TRAVERSABLE, WALL, WALL, WALL, WALL, WALL, WALL, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, TRAVERSABLE, WALL]
[WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, WALL]
[WALL, TRAVERSABLE, WALL, WALL, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, WALL, TRAVERSABLE, TRAVERSABLE, WALL, WALL, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, WALL, WALL, WALL, WALL, WALL, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, WALL, WALL, WALL, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, WALL]
[WALL, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, WALL]
[WALL, TRAVERSABLE, WALL, WALL, WALL, WALL, WALL, WALL, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, WALL, WALL, WALL, WALL, TRAVERSABLE, WALL, WALL, WALL, WALL, WALL, WALL, TRAVERSABLE, TRAVERSABLE, WALL, WALL, WALL, WALL, WALL, WALL, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, WALL, WALL, TRAVERSABLE, WALL, WALL, WALL, WALL, WALL, WALL, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, WALL, WALL]
[WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL]
[WALL, TRAVERSABLE, WALL, WALL, TRAVERSABLE, TRAVERSABLE, WALL, WALL, TRAVERSABLE, TRAVERSABLE, WALL, WALL, WALL, WALL, TRAVERSABLE, TRAVERSABLE, WALL, WALL, WALL, WALL, WALL, TRAVERSABLE, WALL, WALL, WALL, WALL, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, WALL, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, WALL, WALL, WALL, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, WALL, WALL, TRAVERSABLE, TRAVERSABLE, WALL]
[WALL, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL, TRAVERSABLE, TRAVERSABLE, TRAVERSABLE, WALL]
[WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, WALL, WALL, TRAVERSABLE, WALL, WALL, WALL, TRAVERSABLE, WALL, WALL, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, WALL, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, WALL, WALL, WALL, WALL, TRAVERSABLE, WALL, TRAVERSABLE, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, WALL, TRAVERSABLE, WALL, WALL, WALL]
